GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,11/4/1985,M,19.283333,-99.166667,5,19.296395,-99.159428,1
LASIURUS,CINEREUS,4/13/1944,M,19.416667,-99.183333,5,19.419558,-99.187622,1
LASIURUS,CINEREUS,5/20/1995,M,25.166667,-105.516667,12.5,25.289501,-105.659891,3
LASIURUS,CINEREUS,11/21/1971,F,25.533333,-105.466667,11,25.540041,-105.538553,2
LASIURUS,CINEREUS,11/21/1971,M,25.533333,-105.466667,11,25.540041,-105.538553,2
LASIURUS,CINEREUS,4/17/1973,M,26.316667,-105.633333,10,26.389901,-105.353934,3
LASIURUS,CINEREUS,4/16/1994,M,23.633333,-103.916667,5,23.601531,-103.944161,1
LASIURUS,CINEREUS,5/9/1995,M,23.633333,-103.916667,5,23.59896,-103.910512,1
LASIURUS,CINEREUS,9/22/1995,M,23.633333,-103.916667,5,23.59896,-103.910512,1
LASIURUS,CINEREUS,10/20/1994,F,23.633333,-103.916667,5,23.601531,-103.944161,1
LASIURUS,CINEREUS,5/18/1995,M,24.416667,-105.733333,5,25.183576,-106.006488,3
LASIURUS,CINEREUS,5/2/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,5/2/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,11/10/1977,M,23.55,-105.383333,3.1,23.604207,-105.422122,3
LASIURUS,CINEREUS,11/10/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,11/10/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,11/10/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,11/10/1977,M,23.55,-105.383333,3.1,23.603216,-105.389541,3
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
